Turn 0
D0 | status = finished | connection =  |remaining_time = 0 | zone = goal
D1 | status = finished | connection =  |remaining_time = 0 | zone = goal
D2 | status = finished | connection =  |remaining_time = 0 | zone = goal
D3 | status = finished | connection =  |remaining_time = 0 | zone = goal
D4 | status = waiting | connection =  |remaining_time = 0 | zone = final_gate3
D5 | status = waiting | connection =  |remaining_time = 0 | zone = final_gate1
D6 | status = waiting | connection =  |remaining_time = 0 | zone = conv_priority2
D7 | status = waiting | connection =  |remaining_time = 0 | zone = priority_hub
D8 | status = waiting | connection =  |remaining_time = 0 | zone = bottleneck1
D9 | status = waiting | connection =  |remaining_time = 0 | zone = dist_gate1
D10 | status = waiting | connection = None |remaining_time = 0 | zone = start
D11 | status = waiting | connection = None |remaining_time = 0 | zone = start
D12 | status = waiting | connection = None |remaining_time = 0 | zone = start
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 20
D0 | status = finished | connection =  |remaining_time = 0 | zone = goal
D1 | status = finished | connection =  |remaining_time = 0 | zone = goal
D2 | status = finished | connection =  |remaining_time = 0 | zone = goal
D3 | status = finished | connection =  |remaining_time = 0 | zone = goal
D4 | status = waiting | connection =  |remaining_time = 0 | zone = goal
D5 | status = waiting | connection =  |remaining_time = 0 | zone = final_gate2
D6 | status = waiting | connection =  |remaining_time = 0 | zone = final_merge
D7 | status = waiting | connection =  |remaining_time = 0 | zone = conv_priority1
D8 | status = waiting | connection =  |remaining_time = 0 | zone = bottleneck2
D9 | status = waiting | connection =  |remaining_time = 0 | zone = maze_correct
D10 | status = waiting | connection = None |remaining_time = 0 | zone = start
D11 | status = waiting | connection = None |remaining_time = 0 | zone = start
D12 | status = waiting | connection = None |remaining_time = 0 | zone = start
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 21
D0 | status = finished | connection =  |remaining_time = 0 | zone = goal
D1 | status = finished | connection =  |remaining_time = 0 | zone = goal
D2 | status = finished | connection =  |remaining_time = 0 | zone = goal
D3 | status = finished | connection =  |remaining_time = 0 | zone = goal
D4 | status = finished | connection =  |remaining_time = 0 | zone = goal
D5 | status = waiting | connection =  |remaining_time = 0 | zone = final_gate3
D6 | status = waiting | connection =  |remaining_time = 0 | zone = final_gate1
D7 | status = waiting | connection =  |remaining_time = 0 | zone = conv_priority2
D8 | status = waiting | connection =  |remaining_time = 0 | zone = priority_hub
D9 | status = waiting | connection =  |remaining_time = 0 | zone = bottleneck1
D10 | status = waiting | connection =  |remaining_time = 0 | zone = dist_gate1
D11 | status = waiting | connection = None |remaining_time = 0 | zone = start
D12 | status = waiting | connection = None |remaining_time = 0 | zone = start
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 22
D0 | status = finished | connection =  |remaining_time = 0 | zone = goal
D1 | status = finished | connection =  |remaining_time = 0 | zone = goal
D2 | status = finished | connection =  |remaining_time = 0 | zone = goal
D3 | status = finished | connection =  |remaining_time = 0 | zone = goal
D4 | status = finished | connection =  |remaining_time = 0 | zone = goal
D5 | status = waiting | connection =  |remaining_time = 0 | zone = goal
D6 | status = waiting | connection =  |remaining_time = 0 | zone = final_gate2
D7 | status = waiting | connection =  |remaining_time = 0 | zone = final_merge
D8 | status = waiting | connection =  |remaining_time = 0 | zone = conv_priority1
D9 | status = waiting | connection =  |remaining_time = 0 | zone = bottleneck2
D10 | status = waiting | connection =  |remaining_time = 0 | zone = maze_correct
D11 | status = waiting | connection = None |remaining_time = 0 | zone = start
D12 | status = waiting | connection = None |remaining_time = 0 | zone = start
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 23
D0 | status = finished | connection =  |remaining_time = 0 | zone = goal
D1 | status = finished | connection =  |remaining_time = 0 | zone = goal
D2 | status = finished | connection =  |remaining_time = 0 | zone = goal
D3 | status = finished | connection =  |remaining_time = 0 | zone = goal
D4 | status = finished | connection =  |remaining_time = 0 | zone = goal
D5 | status = finished | connection =  |remaining_time = 0 | zone = goal
D6 | status = waiting | connection =  |remaining_time = 0 | zone = final_gate3
D7 | status = waiting | connection =  |remaining_time = 0 | zone = final_gate1
D8 | status = waiting | connection =  |remaining_time = 0 | zone = conv_priority2
D9 | status = waiting | connection =  |remaining_time = 0 | zone = priority_hub
D10 | status = waiting | connection =  |remaining_time = 0 | zone = bottleneck1
D11 | status = waiting | connection =  |remaining_time = 0 | zone = dist_gate1
D12 | status = waiting | connection = None |remaining_time = 0 | zone = start
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 24
D0 | status = finished | connection =  |remaining_time = 0 | zone = goal
D1 | status = finished | connection =  |remaining_time = 0 | zone = goal
D2 | status = finished | connection =  |remaining_time = 0 | zone = goal
D3 | status = finished | connection =  |remaining_time = 0 | zone = goal
D4 | status = finished | connection =  |remaining_time = 0 | zone = goal
D5 | status = finished | connection =  |remaining_time = 0 | zone = goal
D6 | status = waiting | connection =  |remaining_time = 0 | zone = goal
D7 | status = waiting | connection =  |remaining_time = 0 | zone = final_gate2
D8 | status = waiting | connection =  |remaining_time = 0 | zone = final_merge
D9 | status = waiting | connection =  |remaining_time = 0 | zone = conv_priority1
D10 | status = waiting | connection =  |remaining_time = 0 | zone = bottleneck2
D11 | status = waiting | connection =  |remaining_time = 0 | zone = maze_correct
D12 | status = waiting | connection = None |remaining_time = 0 | zone = start
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 25
D0 | status = finished | connection =  |remaining_time = 0 | zone = goal
D1 | status = finished | connection =  |remaining_time = 0 | zone = goal
D2 | status = finished | connection =  |remaining_time = 0 | zone = goal
D3 | status = finished | connection =  |remaining_time = 0 | zone = goal
D4 | status = finished | connection =  |remaining_time = 0 | zone = goal
D5 | status = finished | connection =  |remaining_time = 0 | zone = goal
D6 | status = finished | connection =  |remaining_time = 0 | zone = goal
D7 | status = waiting | connection =  |remaining_time = 0 | zone = final_gate3
D8 | status = waiting | connection =  |remaining_time = 0 | zone = final_gate1
D9 | status = waiting | connection =  |remaining_time = 0 | zone = conv_priority2
D10 | status = waiting | connection =  |remaining_time = 0 | zone = priority_hub
D11 | status = waiting | connection =  |remaining_time = 0 | zone = bottleneck1
D12 | status = waiting | connection =  |remaining_time = 0 | zone = dist_gate1
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 26
D0 | status = finished | connection =  |remaining_time = 0 | zone = goal
D1 | status = finished | connection =  |remaining_time = 0 | zone = goal
D2 | status = finished | connection =  |remaining_time = 0 | zone = goal
D3 | status = finished | connection =  |remaining_time = 0 | zone = goal
D4 | status = finished | connection =  |remaining_time = 0 | zone = goal
D5 | status = finished | connection =  |remaining_time = 0 | zone = goal
D6 | status = finished | connection =  |remaining_time = 0 | zone = goal
D7 | status = waiting | connection =  |remaining_time = 0 | zone = goal
D8 | status = waiting | connection =  |remaining_time = 0 | zone = final_gate2
D9 | status = waiting | connection =  |remaining_time = 0 | zone = final_merge
D10 | status = waiting | connection =  |remaining_time = 0 | zone = conv_priority1
D11 | status = waiting | connection =  |remaining_time = 0 | zone = bottleneck2
D12 | status = waiting | connection =  |remaining_time = 0 | zone = maze_correct
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 27
D0 | status = finished | connection =  |remaining_time = 0 | zone = goal
D1 | status = finished | connection =  |remaining_time = 0 | zone = goal
D2 | status = finished | connection =  |remaining_time = 0 | zone = goal
D3 | status = finished | connection =  |remaining_time = 0 | zone = goal
D4 | status = finished | connection =  |remaining_time = 0 | zone = goal
D5 | status = finished | connection =  |remaining_time = 0 | zone = goal
D6 | status = finished | connection =  |remaining_time = 0 | zone = goal
D7 | status = finished | connection =  |remaining_time = 0 | zone = goal
D8 | status = waiting | connection =  |remaining_time = 0 | zone = final_gate3
D9 | status = waiting | connection =  |remaining_time = 0 | zone = final_gate1
D10 | status = waiting | connection =  |remaining_time = 0 | zone = conv_priority2
D11 | status = waiting | connection =  |remaining_time = 0 | zone = priority_hub
D12 | status = waiting | connection =  |remaining_time = 0 | zone = bottleneck1
D13 | status = waiting | connection =  |remaining_time = 0 | zone = dist_gate1
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 28
D0 | status = finished | connection =  |remaining_time = 0 | zone = goal
D1 | status = finished | connection =  |remaining_time = 0 | zone = goal
D2 | status = finished | connection =  |remaining_time = 0 | zone = goal
D3 | status = finished | connection =  |remaining_time = 0 | zone = goal
D4 | status = finished | connection =  |remaining_time = 0 | zone = goal
D5 | status = finished | connection =  |remaining_time = 0 | zone = goal
D6 | status = finished | connection =  |remaining_time = 0 | zone = goal
D7 | status = finished | connection =  |remaining_time = 0 | zone = goal
D8 | status = waiting | connection =  |remaining_time = 0 | zone = goal
D9 | status = waiting | connection =  |remaining_time = 0 | zone = final_gate2
D10 | status = waiting | connection =  |remaining_time = 0 | zone = final_merge
D11 | status = waiting | connection =  |remaining_time = 0 | zone = conv_priority1
D12 | status = waiting | connection =  |remaining_time = 0 | zone = bottleneck2
D13 | status = waiting | connection =  |remaining_time = 0 | zone = maze_correct
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 29
D0 | status = finished | connection =  |remaining_time = 0 | zone = goal
D1 | status = finished | connection =  |remaining_time = 0 | zone = goal
D2 | status = finished | connection =  |remaining_time = 0 | zone = goal
D3 | status = finished | connection =  |remaining_time = 0 | zone = goal
D4 | status = finished | connection =  |remaining_time = 0 | zone = goal
